Bibliography, ,
,,
,CITATION ID,FULL REFERENCE
PRIMARY SOURCES,,
,DHHJ,"Gansusheng wenwu kaogu yanjiusuo 甘肅省文物考古研究所, ed. Dunhuang Han jian 敦煌漢簡. Beijing: Zhonghua shuju, 1991."
,EJN,"Wei Jian 魏堅, ed. Ejina Han jian 額濟納漢簡. Guilin: Guangxi shifan daxue chubanshe, 2005."
,FY,"Hu Pingsheng 胡平生 and Han Ziqiang 韓自強. ""Cang Jie pian de chubu yanjiu 蒼頡篇的初步研究."" Wenwu 文物 2 (1983): 35-40; Zhongguo jiandu jicheng bianji weiyuanhui 中國簡牘集成編輯委員會, ed. Zhongguo jiandu jicheng 中國簡牘集成. Lanzhou: Dunhuang wenyi chubanshe, 2001+, vol.14 and 18."
,JY,"Jiandu zhengli xiaozu 簡牘整理小組, ed. Juyan Han jian 居延漢簡. 4 vols. Taipei: Zhongying yanjiuyuan lishi yanjiusuo, 2014-17."
,JYX,"Zhang Defang 張德芳, et al. Juyan xin jian jishi 居延新簡集釋. Lanzhou: Gansu wenhua chubanshe, 2016, 7 vols. "
,PKU,"Beijing daxue chutu wenxian yanjiusuo 北京大學出土文獻研究所, ed. Beijing daxue cang Xi Han zhushu (yi) 北京大學藏西漢竹書(壹). Shanghai: Shanghai guji chubanshe, 2015. "
,NYa,"Wang Yue 王樾. ""Lueshuo Niya faxian de Cang Jie pian 略說尼雅發現的蒼頡篇."" Xiyu yanjiu 西域研究 4 (1998):55-8; Cho Narei. Seiiki shutsudo monjo no kisoteki kenkyu. Tokyo: Kyuko Shoin, 2006, p.57."
,NYb,"Christopher J. Foster. “Sitanyin disici Zhongya kaochao suohuo Niya yizhi Cang Jie pian Han jian yi mei 斯坦因第四次中亞考察所獲尼雅遺址蒼頡篇漢簡一枚. Wuhan University Center of Bamboo and Silk Manuscripts 武漢大學簡帛中心 Bamboo and Silk Article Database 簡帛文庫. 19 October 2018, http://www.bsm.org.cn/show_article.php?id=3237"
,SQZ,"Zhang Cunliang 張存良. ""Shuiquanzi Han jian Cang Jie pian zhengli yu yanjiu 水泉子漢簡蒼頡篇整理與研究."" PhD Dissertation, Lanzhou University, 2015. "
,XQZ,"Gansu sheng jiandu bowuguan 甘肅省簡牘博物館, ed. Xuanquan Han jian (yi) 懸泉漢簡(壹). Shanghai: Zhongxi shuju, 2019."
,YT,"Wang Tao 王濤, Hu Pingsheng 胡平生, and Wu Fangsi 吳芳思, eds. Yingguo guojia tushuguan cang Sitanyin suohuo weikan Han wen jiandu 英國國家圖書館藏斯坦因所獲未刊漢文簡牘. Shanghai: Shanghai cishu chubanshe, 2007; Wang Tao 王濤, Hu Pingsheng 胡平生, and Wu Fangsi 吳芳思. ""Yingguo guojia tushuguan cang Sitanyin suohuo weikan Han wen jiandu buyi shiwen 英國國家圖書館藏斯坦因所獲未刊漢文簡牘補遺釋文."" Chutu wenxian yanjiu 15 (2016): 320-9, pl.5-19;  Zhang Cunliang 張存良 and Ju Hong 巨虹. ""Yingguo guojia tushuguan cang Sitanyin suohuo Han wwen jiandu weikan bufen 英國國家圖書館藏斯坦因所獲漢文簡牘部分."" Wenwu 文物 6 (2016): 75-9. See also the International Dunhuang Project online database: http://idp.bl.uk/"
,Mirror,"Qinghua daxue Han jing wenhua yanjiu ketizu 清華大學漢鏡文化研究課題組, ed. Han jing wenhua yanjiu 漢鏡文化研究. Beijing: Beijing daxue chubanshe, 2014, vol.1, pp.430-4, vol.2, pp.412-3."
,HB,"Liu Huan 劉桓. Xinjian Han du Cang Jie pian Shipian jiaoshi. Beijing: Zhonghua shuju, 2019."
,,
"SECONDARY SOURCES (cited in ""CJP Rhyming Data"" table)",,
,Bai 2019,"Bai Junpeng 白軍鵬. ""Han du ben Cang Jie pian duhou 漢牘本蒼頡篇讀後."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 26 December 2019, http://www.gwz.fudan.edu.cn/Web/Show/4511."
,Bao 2020,"Bao Xiao 抱小. ""Shishi Cang Jie pian zhi lieshe biyi 試釋蒼頡篇之獵射畢弋."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 7 January 2020, http://www.gwz.fudan.edu.cn/Web/Show/4524."
