	0
鳩	u
洲	u
女	a
逑	u
菜	ə
流	u
求	u
得	ə
服	ə
哉	ə
側	ə
采	ə
友	ə
芼	a
樂	a
覃	a
谷	o
萋	ə
飛	ə
木	o
喈	ə
莫	a
濩	X
綌	a
斁	X
氏	e
歸	ə
私	ə
衣	ə
否	ə
母	ə
耳	ə
筐	a
人	i
行	a
崔	u
嵬	u
虺	u
隤	u
罍	u
懷	u
岡	X
黃	a
觥	a
傷	a
砠	a
瘏	a
痡	a
吁	a
纍	u
子	ə
綏	u
荒	a
將	a
縈	X
成	e
羽	a
詵	ə
孫	u
振	ə
薨	ə
繩	ə
揖	i
蟄	i
夭	a
華	a
家	a
實	i
室	i
蓁	i
罝	X
丁	e
夫	a
城	e
逵	u
仇	u
林	ə
心	ə
苢	X
有	ə
掇	o
捋	o
袺	i
襭	X
休	u
息	ə
思	ə
廣	a
泳	a
永	a
方	a
薪	i
楚	a
馬	a
蔞	X
駒	X
墳	X
枚	ə
飢	ə
肄	X
棄	i
尾	ə
燬	X
邇	ə
趾	ə
麟	X
定	e
姓	e
角	o
族	o
巢	a
居	a
御	a
盈	e
蘩	X
沚	X
用	o
事	ə
中	u
宮	u
僮	X
公	o
祁	i
還	e
蟲	u
螽	u
忡	u
止	ə
降	u
山	a
蕨	o
惙	X
說	X
薇	X
悲	ə
夷	ə
蘋	X
濱	X
藻	a
潦	X
盛	e
筥	a
湘	X
釜	X
奠	e
下	a
尸	ə
棠	a
伐	a
茇	a
敗	a
憩	a
拜	o
露	a
夜	X
屋	o
獄	o
足	o
牙	a
墉	X
訟	o
從	o
皮	a
紽	a
蛇	a
革	ə
緎	ə
食	ə
縫	o
總	o
靁	u
陽	a
斯	e
遑	X
處	a
梅	ə
七	i
士	ə
吉	i
三	u
今	ə
塈	ə
謂	ə
星	e
東	o
征	e
同	o
昴	u
裯	X
猶	u
汜	X
以	ə
悔	ə
渚	a
與	a
沱	a
過	a
歌	a
麇	u
包	u
春	u
誘	u
樕	X
鹿	o
束	o
玉	o
脫	X
帨	o
吠	o
襛	X
雝	X
車	a
李	ə
何	a
緡	u
葭	X
豝	a
虞	a
蓬	X
豵	o
舟	u
寐	i
憂	u
酒	u
遊	u
鑒	X
茹	a
弟	ə
據	a
愬	a
怒	a
石	X
轉	o
席	X
卷	o
棣	ə
選	o
悄	X
小	e
多	a
少	e
摽	e
諸	a
微	ə
矣	ə
之	ə
裏	ə
已	ə
裳	a
亡	a
絲	ə
治	ə
訧	ə
風	ə
野	X
及	ə
雨	a
頏	X
泣	ə
音	ə
南	ə
只	X
淵	i
惠	i
身	i
土	a
顧	a
冒	u
好	u
報	u
良	a
忘	a
出	u
卒	u
述	u
暴	a
笑	a
敖	a
悼	a
霾	ə
來	ə
曀	X
嚏	i
陰	u
鏜	a
兵	a
