	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
39	40	3	卷耳	3.1	2	不盈頃a筐	不 + 盈 + 頃 + 筐	不 + 盈 + 頃 + 筐	3.1.a	筐	0 0 0 11	a
40	41	3	卷耳	3.1	3	嗟我懷人	嗟 + 我 + 懷 + 人	嗟 + 我 + 懷 + 人		人	0 0 0 0	i
41	42	3	卷耳	3.1	4	寘彼周a行	寘 + 彼 + 周 + 行	寘 + 彼 + 周 + 行	3.1.a	行	0 0 0 11	a
47	50	3	卷耳	3.3	2	我馬玄a黃	我 + 馬 + 玄 + 黃	我 + 馬 + 玄 + 黃	3.3.a	黃	0 0 0 13	a
48	51	3	卷耳	3.3	3	我姑酌彼兕a觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	3.3.a	觥	0 0 0 0 0 13	a
49	52	3	卷耳	3.3	4	維以不永a傷	維 + 以 + 不 + 永 + 傷	維 + 以 + 不 + 永 + 傷	3.3.a	傷	0 0 0 0 13	a
59	62	4	樛木	4.2	2	葛藟a荒之	葛 + 藟 + 荒 + 之	葛 + 藟 + 荒 + 之	4.2.a	荒	0 0 16 0	a
61	64	4	樛木	4.2	4	福履a將之	福 + 履 + 將 + 之	福 + 履 + 將 + 之	4.2.a	將	0 0 16 0	a
65	68	4	樛木	4.3	4	福履a成之	福 + 履 + 成 + 之	福 + 履 + 成 + 之	4.3.a	成	0 0 17 0	e
71	76	5	螽斯	5.2	2	a薨a薨兮	薨 + 薨 + 兮	薨 + 薨 + 兮	5.2.a	薨	19 19 0	ə
73	79	5	螽斯	5.2	5	a繩a繩兮	繩 + 繩 + 兮	繩 + 繩 + 兮	5.2.a	繩	19 19 0	ə
89	98	6	桃夭	6.3	4	宜其家a人	宜 + 其 + 家 + 人	宜 + 其 + 家 + 人	6.3.a	人	0 0 0 23	i
91	100	7	兔罝	7.1	2	椓之丁b丁	椓 + 之 + 丁 + 丁	椓 + 之 + 丁 + 丁	7.1.b	丁	0 0 0 25	e
93	102	7	兔罝	7.1	4	公侯干b城	公 + 侯 + 干 + 城	公 + 侯 + 干 + 城	7.1.b	城	0 0 0 25	e
118	129	9	漢廣	9.1	7	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.1.b	廣	0 0 34 0	a
120	132	9	漢廣	9.1	10	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.1.b	永	0 0 34 0	a
121	133	9	漢廣	9.1	11	不可c方x?d思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.1.c	方	0 0 35 0	a
126	139	9	漢廣	9.2	5	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.2.b	廣	0 0 37 0	a
128	141	9	漢廣	9.2	7	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.2.b	永	0 0 37 0	a
